,name,score
0,Lone Digger,5609.8829661225045
1,The Boondocks Main Title,34918.90709921102
2,Meant to Be Yours,40833.976833842076
3,Gangsta's Paradise,33462.108747848215
4,Hush - Theme From Turn,44118.44068223886
5,Spanish Ladies,27804.737345084493
6,You're Welcome,28128.25281073192
7,I Got You (I Feel Good),32150.19805910069
8,Mad World,18046.36934608032
9,Yo Girl,39246.04300802738
10,CLOUT COBAIN | CLOUT CO13A1N,35127.915339510895
11,DEVASTATED,30028.36375471319
12,HUMBLE.,38219.14119634262
13,Take on Me,35559.002989536544
14,Don't Stop Me Now,33371.68435099566
15,I Heard It Through The Grapevine,81763.29283456251
16,"Gaur Plains (From ""Xenoblade Chronicles"") [feat. Auden Durant]",57628.13847856139
17,We the People,51467.75625864285
18,Mr. Blue Sky,24811.571464517845
19,Immigrant Song - Remaster,30695.087481047947
20,Easy Living,48086.081678888855
21,Giant Steps,88268.58951422035
22,"Sing, Sing, Sing",54989.72377385406
23,Take Five,15719.59434040257
24,Narcos Main Theme - Tuyo (Netflix Series),15755.055640969604
25,Stayin' Alive,46860.00812345143
26,Love Comes To Everyone - Remastered 2004,44358.33087053051
27,Can't Get It out of My Head,47801.066066228064
28,10538 Overture (40th Anniversary) - 2012 Version,42281.78970375171
29,Showdown,38866.02605002891
30,Turn to Stone,42512.51533424141
31,Standin' in the Rain - Live at Wembley Stadium,86701.0027634834
32,Hello My Old Friend,36018.25216558924
33,Livin' Thing,52207.4320026141
34,Have a Cigar,47653.981530395795
35,Ocean Floor,49305.37106296729
36,Nautilus,49468.23465693459
37,Ebb And Flow,55012.44567368363
38,The Thrill Is Gone,36401.83018409196
39,They Come From Above,34609.79970320736
40,Through A Cardboard World,49165.40330207212
41,"The Fragrance of Dark Coffee (From ""Phoenix Wright Ace Attorney: Trials & Tribulations"")",54921.85329273346
42,Fat Old Sun,55808.6301641778
43,Summer '68,30428.736271663856
44,The Post War Dream,71773.52312389412
45,Poles Apart,44082.30536506605
46,Limelight,34303.58337522539
47,Fly By Night,39476.765775032865
48,Speed Kills,54093.956431166924
49,Rubber Bullets,38986.81412050796
50,Rock'N'Roll Lullaby,5609.879837320141
51,We've Heard It All Before,34918.904387582304
52,The Second Sitting For The Last Supper,40833.97613855266
53,Clockwork Creep,33462.11138994799
54,I'm Not In Love,44118.443463396514
55,(Don't Fear) The Reaper,27804.736927910846
56,Burnin' for You,28128.257121526287
57,Godzilla,32150.19715522445
58,Cities On Flame with Rock and Roll,18046.366773509486
59,Player 2,39246.039740167136
60,Hit The Ground Running,35127.915339510895
61,Run For Your Soul,30028.357983811053
62,Hit The Ground Running (jredd's Act 2),38219.135286382596
63,They Came From The Elevator (swerdmurds Mini Medley Mix),35559.002989536544
64,Jane,33371.68177842483
65,Skateboard,81763.29401655452
66,Just the Same,57628.13813091668
67,Mary,51467.75493759296
68,Cantaloupe Island - Remastered,24811.569587236427
69,Blue Train - Remastered 2003/Rudy Van Gelder Edition,30695.08866303995
70,Iron Man - 2012 - Remaster,48086.08508580698
71,Ain't No Mountain High Enough - Mono,88268.58596824434
72,Call It Stormy Monday (But Tuesday Is Just As Bad),54989.71925447287
73,The Sound of Silence,15719.593714642097
74,Seven Nation Army,15755.050287241114
75,Since You Been Gone,46860.00568993848
76,Bus Stop - Live,44358.32899324909
77,Don't Hang Up,47801.06418894665
78,Never Gonna Give You Up,42281.78928657806
79,End Of The Beginning,38866.02173923454
80,Icky Thump,42512.51408272047
81,Fell In Love With A Girl,86701.00116431774
82,The Hardest Button To Button,36018.24729856334
83,Ball And Biscuit,52207.42741370396
84,Apple Blossom,47653.98076557744
85,You Don't Know What Love Is (You Just Do as You're Told),49305.37064579365
86,300 M.P.H. Torrential Outpour Blues,49468.234448347765
87,Conquest,55012.44567368363
88,St. Andrew (This Battle Is In the Air),36401.83018409196
89,Little Cream Soda,34609.80206719137
90,Dear Diary,49165.40622228766
91,King Rat,54921.850302988976
92,There's No Home For You Here,55808.62710490438
93,Gotta Get Up - Remastered,30428.738148945275
94,Don't Bring Me Down,71773.51943886022
95,Black Math,44082.300845684855
96,Little Acorns,34303.57920348891
97,The Air Near My Fingers,39476.765775032865
98,A Martyr for My Love for You,54093.95990761399
99,The Story In Your Eyes,33730.49915943817
100,One Short Tale: Peace,96823.61533537382
101,Moanin' - Remastered,74354.94837694231
102,Song For My Father,63998.72360668555
103,Sway,43136.83354030533
104,Mystic Brew,84911.85957527492
105,Landmarks,69903.29320250993
106,The Dream,26427.157082090427
107,The Denial Twist,43494.11482474738
108,Instinct Blues,44545.95573568929
109,"Take, Take, Take",39483.54880285685
110,Red Rain,31204.54734987415
111,Dead Leaves And The Dirty Ground,8545.87779518594
112,Little Room,35004.74380430395
