,name,score
0,Lone Digger,3.86284575
1,The Boondocks Main Title,3.9379025
2,Meant to Be Yours,2.340075
3,Gangsta's Paradise,2.9747424999999996
4,Hush - Theme From Turn,2.26082825
5,Spanish Ladies,3.038950616
6,You're Welcome,3.1344735
7,I Got You (I Feel Good),3.3991880363
8,Mad World,3.0049043699999998
9,Yo Girl,3.47754225
10,CLOUT COBAIN | CLOUT CO13A1N,2.82732325
11,DEVASTATED,3.1784879999999998
12,HUMBLE.,2.867707289
13,Take on Me,4.2163070000000005
14,Don't Stop Me Now,4.0071079
15,I Heard It Through The Grapevine,3.17447
16,"Gaur Plains (From ""Xenoblade Chronicles"") [feat. Auden Durant]",2.1566644999999998
17,We the People,3.12043405
18,Mr. Blue Sky,2.8617157872999996
19,Immigrant Song - Remaster,3.7188892499999993
20,Easy Living,4.0345951
21,Giant Steps,2.74653233
22,"Sing, Sing, Sing",2.154641
23,Take Five,3.0175113
24,Narcos Main Theme - Tuyo (Netflix Series),2.6529760000000002
25,Stayin' Alive,3.3599325
26,Love Comes To Everyone - Remastered 2004,2.6077886
27,Can't Get It out of My Head,2.0433325
28,10538 Overture (40th Anniversary) - 2012 Version,2.0363799999999994
29,Showdown,3.81497155
30,Turn to Stone,2.4353088199999995
31,Standin' in the Rain - Live at Wembley Stadium,2.15242575
32,Hello My Old Friend,1.4399248000000004
33,Livin' Thing,1.8134025
34,Have a Cigar,3.06504625
35,Ocean Floor,2.47517875
36,Nautilus,2.763716
37,Ebb And Flow,3.1662944999999993
38,The Thrill Is Gone,3.0018807500000007
39,They Come From Above,4.3042514999999995
40,Through A Cardboard World,2.8338895
41,"The Fragrance of Dark Coffee (From ""Phoenix Wright Ace Attorney: Trials & Tribulations"")",2.4542112499999997
42,Fat Old Sun,2.34606825
43,Summer '68,1.48916975
44,The Post War Dream,3.1175245100000004
45,Poles Apart,2.067766
46,Limelight,3.7983784999999997
47,Fly By Night,2.66672669
48,Speed Kills,4.064172
49,Rubber Bullets,2.82272138
50,Rock'N'Roll Lullaby,4.04284575
51,We've Heard It All Before,4.4079025
52,The Second Sitting For The Last Supper,2.430075
53,Clockwork Creep,2.9947425
54,I'm Not In Love,2.25082825
55,(Don't Fear) The Reaper,3.138950616
56,Burnin' for You,3.0744735
57,Godzilla,3.0191880363
58,Cities On Flame with Rock and Roll,2.87490437
59,Player 2,3.7775422499999998
60,Hit The Ground Running,3.3073232499999996
61,Run For Your Soul,3.1784879999999998
62,Hit The Ground Running (jredd's Act 2),3.047707289
63,They Came From The Elevator (swerdmurds Mini Medley Mix),4.386307
64,Jane,4.0071079
65,Skateboard,3.5144699999999998
66,Just the Same,1.9866644999999998
67,Mary,3.17043405
68,Cantaloupe Island - Remastered,2.6717157872999997
69,Blue Train - Remastered 2003/Rudy Van Gelder Edition,3.4588892499999995
70,Iron Man - 2012 - Remaster,4.1845951
71,Ain't No Mountain High Enough - Mono,2.24653233
72,Call It Stormy Monday (But Tuesday Is Just As Bad),2.654641
73,The Sound of Silence,3.3775113
74,Seven Nation Army,2.742976
75,Since You Been Gone,3.6099325
76,Bus Stop - Live,3.0977886
77,Don't Hang Up,2.2933325
78,Never Gonna Give You Up,2.38638
79,End Of The Beginning,3.85497155
80,Icky Thump,2.83530882
81,Fell In Love With A Girl,2.42242575
82,The Hardest Button To Button,1.6699248
83,Ball And Biscuit,2.1334025
84,Apple Blossom,3.42504625
85,You Don't Know What Love Is (You Just Do as You're Told),2.57517875
86,300 M.P.H. Torrential Outpour Blues,2.813716
87,Conquest,3.1862945
88,St. Andrew (This Battle Is In the Air),3.0018807500000007
89,Little Cream Soda,4.3042514999999995
