,name,score
2220,How to Talk,5.563496499999999
1815,20 Min,5.5440985000000005
3102,Leaders (feat. NAV),5.5326395
2948,Celebration Station,5.210359
3910,Cruisin' In The ATL (Interlude),5.178242285
2949,Bigger Than Life,5.1451355
2212,No Sleep Leak,5.05762425
2941,Baby Pluto,5.036845
2056,Fancy Clown,5.03359275
1998,Epoch Elliptic,5.0294550000000005
4455,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",5.02902225
1948,Goldie,4.999455
5140,Tidal Wave,4.98237025
4267,driveby,4.98143575
375,XO Tour Llif3,4.96814408
2317,Erase Your Social,4.967985499999999
4308,sidewalk safari,4.91240675
5489,Dream,4.90596125
1999,4379,4.86176425
289,In the Aeroplane Over the Sea,4.8435682
2373,Tanto Blade,4.83970925
1949,Undie,4.83176425
2214,For Real,4.798776999999999
3101,Got The Guap (feat. Young Thug),4.79087625
3574,Pe'i Tau'eva (Instrumental Version),4.7841115
3960,Past Life,4.768242285
3888,Without Her,4.759477
5357,Helmet,4.74722725
4264,Chiyo,4.73211025
5483,Cut,4.704373
5605,You're on My Mind,4.70176075
1978,Eyelash,4.694067749999999
1944,Everything Bagel,4.68325825
5190,ramen beat,4.68237025
2213,The Way Life Goes (feat. Oh Wonder),4.676085
5746,HEY BOO - Skit,4.666801749999999
4780,Right Way,4.65802575
3121,Public Service Announcement 2000,4.655298
4217,basement,4.65143575
1396,Truth Doesn't Make A Noise,4.65073775
4271,runaway,4.6471335
3171,Apparently,4.645298
662,I Need Seed,4.642429
1058,BLOCC IS HOT,4.641179
1269,Bank Account,4.64111515
2055,Strange Ways,4.6382615148
5439,Camphor,4.635961249999999
4214,lookin up,4.63211025
1995,Loco Ocean,4.62568125
495,Sanguine Paradise,4.6227335
1945,The Ground is Not So Far,4.61568125
3099,Come This Way,4.60986525
2323,Be Yourself,4.60970925
4906,Hit me up,4.608183
1990,Not For Your Throat,4.59939025
2951,Bust Me,4.59755975
1994,Cupid,4.59325825
5282,Horchata,4.593017249999999
1477,Miserlou Twist,4.5925713
678,Idea For Rubber Dog,4.59104025
5146,CHAIN REACTION,4.588288
1928,Spring Cleaning,4.584067749999999
2957,Futsal Shuffle 2020 - Bonus Track,4.5828655114
5655,down bad,4.581760750000001
5014,Urban Garden,4.5816635
5466,Forever I B Stangin',4.58084275
2417,HUMBLE. - SKRILLEX REMIX,4.5778700180000005
2058,Supervillain Theme,4.57586525
5448,Jasmine Blossoms,4.5757762500000005
2539,Looking Out for You,4.56574275
2890,Dizzy Moods,4.565485798
1940,Thrower,4.55939025
4520,Magic,4.55623375
3928,SKIT 3,4.555709429999999
1985,Angel,4.553192068
621,Beat It,4.5531758292
4567,Fair Trade (with Travis Scott),4.5395352696
2312,Original Uzi (4 of Us),4.538240999999999
5307,TOP RAMEN,4.53722725
5796,Lobster Omelette (feat. Rick Ross),4.53680175
2006,Bumblebees Are Out,4.53359275
4517,Find My Way Home,4.5295352696
1011,When Buddha Smiles,4.52688775
4783,Blue Kite,4.5264265
5765,Major Distribution,4.52343475
2958,That Way - Bonus Track,4.51316673
4594,DEVIL FRUIT,4.5098135
3838,Arnold & Danny,4.509477
5612,Birthday,4.49778075
5463,Steelspittin(mp3codec Errorincluded),4.494281
2327,Good Guy,4.49121705
628,Rude,4.491040249999999
3978,Intrasport,4.48570943
2705,Champion,4.484820749999999
620,Thriller,4.483513349999999
577,Bonetrousle,4.48246675
2954,Venetia,4.480518829999999
4816,"Herbs, Good Hygiene and Socks",4.46902455
4017,It's a Raggy Waltz - Live at Carnegie Hall,4.458992749999999
3366,Spacey,4.45596625
